eval,prob_type,n_class,n_row,n_num,n_cate,version,n_imp,rows_to_scan,time_per_iter
roc_auc,classification,2,99996,10,2,1,2,1,128.06
roc_auc,classification,2,99996,10,2,1,2,0.3,124.5002
roc_auc,classification,2,49996,10,2,1,2,1.0,29.8041499972
roc_auc,classification,2,49996,10,2,2,10,1.0,31.7144999981
roc_auc,classification,2,49996,10,2,3,10,1.0,32.0863000035
roc_auc,classification,2,49996,10,2,4,10,1.0,95.0658499956
roc_auc,classification,2,49996,10,2,5,10,1.0,124.928100002
accuracy,classification,2,49996,10,2,1,2,1.0,36.1978500009
accuracy,classification,2,49996,10,2,2,10,1.0,30.343599999
accuracy,classification,2,49996,10,2,3,10,1.0,40.0338500023
accuracy,classification,2,49996,10,2,2,10,1.0,23.2393999934
accuracy,classification,7,15120,54,0,2,54,1.0,53.7646000028
accuracy,classification,7,15120,54,0,1,0,1.0,43.758950007
accuracy,classification,7,15120,54,0,3,54,1.0,104.727449989
accuracy,classification,7,15120,54,0,4,54,1.0,78.2555000067
accuracy,classification,7,15120,54,0,5,54,1.0,55.9671000004
accuracy,classification,7,15120,54,0,3,54,1.0,62.6440999985
accuracy,classification,7,15120,54,0,4,54,1.0,160.805966671
accuracy,classification,7,15120,54,0,5,54,1.0,116.082366673
accuracy,classification,7,15120,54,0,4,54,1.0,64.482433335
accuracy,classification,7,15120,54,0,5,54,1.0,63.430733331
accuracy,classification,7,15120,54,0,5,54,1.0,147.241666667
accuracy,classification,7,15120,54,0,2,54,1.0,50.2407000065
accuracy,classification,7,15120,54,0,1,0,1.0,34.3811000029
accuracy,classification,7,15120,52,0,5,52,1.0,150.706366666
accuracy,classification,7,15120,52,0,3,52,1.0,65.4310333331
accuracy,classification,7,10000,51,0,1,0,1.0,16.9493000031
accuracy,classification,7,10000,51,0,2,51,1.0,22.1757333279
accuracy,classification,7,10000,51,0,3,51,1.0,39.2606333335
accuracy,classification,7,10000,51,0,4,51,1.0,43.2128666719
accuracy,classification,7,10000,51,0,5,51,1.0,113.089900001
accuracy,classification,7,15120,52,0,5,52,0.3,202.003966665
accuracy,classification,7,15120,52,0,4,52,0.3,63.3857000033
accuracy,classification,7,15120,52,0,3,52,0.3,22.430066665
accuracy,classification,7,15120,52,0,2,52,0.3,44.8064333359
accuracy,classification,7,15120,52,0,1,0,0.3,34.3463333289
accuracy,classification,7,15120,52,0,3,52,0.3,61.9108666658
accuracy,classification,7,10000,51,0,1,0,0.3,18.1310000022
accuracy,classification,7,10000,51,0,2,51,0.3,11.6419333378
accuracy,classification,7,10000,51,0,3,51,0.3,22.7286000013
accuracy,classification,7,10000,51,0,4,51,0.3,38.8528666655
accuracy,classification,7,10000,51,0,5,51,0.3,95.1323000034
mean_squared_error,regression,1,300000,58,0,1,46,1.0,78.7147333384
mean_squared_error,regression,1,300000,58,0,2,58,1.0,144.503933334
mean_squared_error,regression,1,300000,58,0,3,58,1.0,285.044266661
mean_squared_error,regression,1,300000,58,0,4,58,1.0,1089.4864
mean_squared_error,regression,1,300000,58,0,5,58,1.0,1923.4302
